x_H,Cp
-5.0000,-0.069282
-4.9624,-0.068481
-4.9248,-0.067654
-4.8872,-0.066801
-4.8496,-0.065921
-4.8120,-0.065016
-4.7744,-0.064086
-4.7368,-0.063131
-4.6992,-0.062152
-4.6617,-0.061148
-4.6241,-0.060121
-4.5865,-0.059071
-4.5489,-0.057997
-4.5113,-0.056902
-4.4737,-0.055784
-4.4361,-0.054644
-4.3985,-0.053484
-4.3609,-0.052302
-4.3233,-0.051101
-4.2857,-0.049879
-4.2481,-0.048638
-4.2105,-0.047379
-4.1729,-0.046101
-4.1353,-0.044805
-4.0977,-0.043492
-4.0602,-0.042162
-4.0226,-0.040815
-3.9850,-0.039453
-3.9474,-0.038076
-3.9098,-0.036684
-3.8722,-0.035277
-3.8346,-0.033857
-3.7970,-0.032424
-3.7594,-0.030978
-3.7218,-0.029520
-3.6842,-0.028051
-3.6466,-0.026571
-3.6090,-0.025081
-3.5714,-0.023580
-3.5338,-0.022071
-3.4962,-0.020553
-3.4586,-0.019028
-3.4211,-0.017494
-3.3835,-0.015955
-3.3459,-0.014408
-3.3083,-0.012857
-3.2707,-0.011300
-3.2331,-0.009739
-3.1955,-0.008175
-3.1579,-0.006607
-3.1203,-0.005039
-3.0827,-0.003471
-3.0451,-0.001907
-3.0075,-0.000353
-2.9699,0.001183
-2.9323,0.002686
-2.8947,0.004132
-2.8571,0.005487
-2.8195,0.006697
-2.7820,0.007689
-2.7444,0.008362
-2.7068,0.008583
-2.6692,0.008189
-2.6316,0.006983
-2.5940,0.004742
-2.5564,0.001227
-2.5188,-0.003808
-2.4812,-0.010599
-2.4436,-0.019351
-2.4060,-0.030227
-2.3684,-0.043334
-2.3308,-0.058708
-2.2932,-0.076320
-2.2556,-0.096067
-2.2180,-0.117785
-2.1805,-0.141258
-2.1429,-0.166226
-2.1053,-0.192400
-2.0677,-0.219472
-2.0301,-0.247127
-1.9925,-0.275050
-1.9549,-0.302932
-1.9173,-0.330475
-1.8797,-0.357396
-1.8421,-0.383428
-1.8045,-0.408323
-1.7669,-0.431849
-1.7293,-0.453795
-1.6917,-0.473969
-1.6541,-0.492197
-1.6165,-0.508326
-1.5789,-0.522222
-1.5414,-0.533769
-1.5038,-0.542872
-1.4662,-0.549456
-1.4286,-0.553464
-1.3910,-0.554859
-1.3534,-0.553623
-1.3158,-0.549759
-1.2782,-0.543287
-1.2406,-0.534248
-1.2030,-0.522703
-1.1654,-0.508731
-1.1278,-0.492431
-1.0902,-0.473921
-1.0526,-0.453341
-1.0150,-0.430846
-0.9774,-0.406614
-0.9398,-0.380841
-0.9023,-0.353743
-0.8647,-0.325553
-0.8271,-0.296523
-0.7895,-0.266925
-0.7519,-0.237044
-0.7143,-0.207182
-0.6767,-0.177647
-0.6391,-0.148758
-0.6015,-0.120829
-0.5639,-0.094168
-0.5263,-0.069059
-0.4887,-0.045757
-0.4511,-0.024473
-0.4135,-0.005363
-0.3759,0.011482
-0.3383,0.026043
-0.3008,0.038369
-0.2632,0.048579
-0.2256,0.056850
-0.1880,0.063408
-0.1504,0.068509
-0.1128,0.072431
-0.0752,0.075461
-0.0376,0.077889
0.0000,0.080000
0.0376,0.082080
0.0752,0.084415
0.1128,0.087290
0.1504,0.090996
0.1880,0.095818
0.2256,0.102035
0.2632,0.109905
0.3008,0.119652
0.3383,0.131453
0.3759,0.145428
0.4135,0.161627
0.4511,0.180030
0.4887,0.200547
0.5263,0.223022
0.5639,0.247244
0.6015,0.272960
0.6391,0.299883
0.6767,0.327709
0.7143,0.356121
0.7519,0.384805
0.7895,0.413449
0.8271,0.441754
0.8647,0.469433
0.9023,0.496218
