x_L,Cf
-0.5000,0.00300084
-0.4925,0.00300102
-0.4850,0.00300124
-0.4774,0.00300150
-0.4699,0.00300180
-0.4624,0.00300217
-0.4549,0.00300260
-0.4474,0.00300311
-0.4398,0.00300370
-0.4323,0.00300440
-0.4248,0.00300521
-0.4173,0.00300616
-0.4098,0.00300725
-0.4023,0.00300851
-0.3947,0.00300997
-0.3872,0.00301163
-0.3797,0.00301354
-0.3722,0.00301571
-0.3647,0.00301817
-0.3571,0.00302096
-0.3496,0.00302410
-0.3421,0.00302763
-0.3346,0.00303159
-0.3271,0.00303601
-0.3195,0.00304092
-0.3120,0.00304636
-0.3045,0.00305237
-0.2970,0.00305899
-0.2895,0.00306624
-0.2820,0.00307416
-0.2744,0.00308279
-0.2669,0.00309214
-0.2594,0.00310224
-0.2519,0.00311312
-0.2444,0.00312478
-0.2368,0.00313724
-0.2293,0.00315049
-0.2218,0.00316453
-0.2143,0.00317935
-0.2068,0.00319492
-0.1992,0.00321122
-0.1917,0.00322819
-0.1842,0.00324580
-0.1767,0.00326398
-0.1692,0.00328267
-0.1617,0.00330178
-0.1541,0.00332122
-0.1466,0.00334091
-0.1391,0.00336072
-0.1316,0.00338055
-0.1241,0.00340028
-0.1165,0.00341979
-0.1090,0.00343893
-0.1015,0.00345759
-0.0940,0.00347563
-0.0865,0.00349290
-0.0789,0.00350929
-0.0714,0.00352466
-0.0639,0.00353889
-0.0564,0.00355186
-0.0489,0.00356347
-0.0414,0.00357361
-0.0338,0.00358221
-0.0263,0.00358917
-0.0188,0.00359445
-0.0113,0.00359800
-0.0038,0.00359978
0.0038,0.00359978
0.0113,0.00359800
0.0188,0.00359445
0.0263,0.00358917
0.0338,0.00358221
0.0414,0.00357361
0.0489,0.00356347
0.0564,0.00355186
0.0639,0.00353889
0.0714,0.00352466
0.0789,0.00350929
0.0865,0.00349290
0.0940,0.00347563
0.1015,0.00345759
0.1090,0.00343893
0.1165,0.00341979
0.1241,0.00340028
0.1316,0.00338055
0.1391,0.00336072
0.1466,0.00334091
0.1541,0.00332122
0.1617,0.00330178
0.1692,0.00328267
0.1767,0.00326398
0.1842,0.00324580
0.1917,0.00322819
0.1992,0.00321122
0.2068,0.00319492
0.2143,0.00317935
0.2218,0.00316453
0.2293,0.00315049
0.2368,0.00313724
0.2444,0.00312478
0.2519,0.00311312
0.2594,0.00310224
0.2669,0.00309214
0.2744,0.00308279
0.2820,0.00307416
0.2895,0.00306624
0.2970,0.00305899
0.3045,0.00305237
0.3120,0.00304636
0.3195,0.00304092
0.3271,0.00303601
0.3346,0.00303159
0.3421,0.00302763
0.3496,0.00302410
0.3571,0.00302096
0.3647,0.00301817
0.3722,0.00301571
0.3797,0.00301354
0.3872,0.00301163
0.3947,0.00300997
0.4023,0.00300851
0.4098,0.00300725
0.4173,0.00300616
0.4248,0.00300521
0.4323,0.00300440
0.4398,0.00300370
0.4474,0.00300311
0.4549,0.00300260
0.4624,0.00300217
0.4699,0.00300180
0.4774,0.00300150
0.4850,0.00300124
0.4925,0.00300102
0.5000,0.00300084
0.5075,0.00300069
0.5150,0.00300056
0.5226,0.00300046
0.5301,0.00300037
0.5376,0.00300030
0.5451,0.00300024
0.5526,0.00300020
0.5602,0.00300016
0.5677,0.00300013
0.5752,0.00300010
0.5827,0.00300008
0.5902,0.00300006
0.5977,0.00300005
0.6053,0.00300004
0.6128,0.00300003
0.6203,0.00300002
0.6278,0.00300002
0.6353,0.00300001
0.6429,0.00300001
0.6504,0.00300001
0.6579,0.00300001
0.6654,0.00300001
0.6729,0.00300000
0.6805,0.00300000
0.6880,0.00300000
0.6955,0.00300000
0.7030,0.00300000
0.7105,0.00300000
0.7180,0.00300000
0.7256,0.00300000
0.7331,0.00300000
0.7406,0.00300000
0.7481,0.00300000
0.7556,0.00300000
0.7632,0.00300000
0.7707,0.00300000
0.7782,0.00300000
0.7857,-0.00002291
0.7932,-0.00005300
0.8008,-0.00008296
0.8083,-0.00011271
0.8158,-0.00014217
0.8233,-0.00017127
0.8308,-0.00019995
0.8383,-0.00022811
0.8459,-0.00025570
0.8534,-0.00028265
0.8609,-0.00030888
0.8684,-0.00033433
0.8759,-0.00035894
0.8835,-0.00038264
0.8910,-0.00040537
0.8985,-0.00042708
0.9060,-0.00044771
0.9135,-0.00046721
0.9211,-0.00048553
0.9286,-0.00050263
0.9361,-0.00051846
0.9436,-0.00053297
0.9511,-0.00054614
0.9586,-0.00055793
0.9662,-0.00056832
0.9737,-0.00057726
0.9812,-0.00058475
0.9887,-0.00059077
0.9962,-0.00059529
1.0038,-0.00059831
1.0113,-0.00059981
1.0188,-0.00059981
1.0263,-0.00059828
1.0338,-0.00059525
1.0414,-0.00059072
1.0489,-0.00058469
1.0564,-0.00057718
1.0639,-0.00056822
1.0714,-0.00055782
1.0789,-0.00054602
1.0865,-0.00053283
1.0940,-0.00051830
1.1015,-0.00050246
1.1090,-0.00048536
1.1165,-0.00046702
1.1241,-0.00044751
1.1316,-0.00042687
1.1391,-0.00040515
1.1466,-0.00038240
1.1541,-0.00035869
1.1617,-0.00033408
1.1692,-0.00030862
1.1767,-0.00028238
1.1842,-0.00025543
1.1917,-0.00022783
1.1992,-0.00019966
1.2068,-0.00017098
1.2143,-0.00014188
1.2218,-0.00011241
1.2293,-0.00008266
1.2368,-0.00005270
1.2444,-0.00002261
1.2519,0.00001237
1.2594,0.00006116
1.2669,0.00010887
1.2744,0.00015551
1.2820,0.00020111
1.2895,0.00024569
1.2970,0.00028928
1.3045,0.00033190
1.3120,0.00037356
1.3195,0.00041430
1.3271,0.00045413
1.3346,0.00049307
1.3421,0.00053114
1.3496,0.00056836
1.3571,0.00060475
1.3647,0.00064033
1.3722,0.00067512
1.3797,0.00070913
1.3872,0.00074238
1.3947,0.00077489
