x,cp
1.0,0.090489
0.999,0.081551
0.99797,0.087973
0.99689,0.092312
0.99578,0.095422
0.99463,0.097578
0.99344,0.099242
0.9922,0.1006
0.99092,0.10181
0.9896,0.10291
0.98823,0.10396
0.98681,0.10495
0.98534,0.1059
0.98381,0.10681
0.98224,0.10768
0.98061,0.10853
0.97892,0.10935
0.97718,0.11016
0.97537,0.11095
0.9735,0.11173
0.97157,0.1125
0.96957,0.11327
0.9675,0.11404
0.96537,0.1148
0.96316,0.11557
0.96087,0.11634
0.95852,0.11712
0.95608,0.11791
0.95356,0.11871
0.95096,0.11952
0.94827,0.12034
0.9455,0.12119
0.94264,0.12205
0.93969,0.12292
0.93664,0.12383
0.9335,0.12475
0.93025,0.1257
0.92691,0.12668
0.92347,0.12768
0.91991,0.12872
0.91626,0.12978
0.91249,0.13088
0.9086,0.13202
0.90461,0.13319
0.9005,0.1344
0.89626,0.13565
0.89191,0.13694
0.88744,0.13827
0.88284,0.13965
0.87811,0.14108
0.87325,0.14255
0.86827,0.14407
0.86315,0.14564
0.85789,0.14727
0.8525,0.14895
0.84698,0.15069
0.84132,0.15248
0.83551,0.15433
0.82957,0.15624
0.82349,0.15821
0.81727,0.16025
0.8109,0.16234
0.80439,0.16451
0.79774,0.16674
0.79095,0.16903
0.78402,0.1714
0.77694,0.17384
0.76973,0.17635
0.76238,0.17893
0.75489,0.18158
0.74726,0.18431
0.7395,0.18712
0.7316,0.19002
0.72358,0.19298
0.71543,0.19603
0.70715,0.19917
0.69875,0.20239
0.69023,0.2057
0.6816,0.2091
0.67286,0.21259
0.66401,0.21617
0.65505,0.21986
0.646,0.22363
0.63686,0.22751
0.62763,0.2315
0.61831,0.23559
0.60892,0.23979
0.59946,0.24411
0.58993,0.24854
0.58035,0.25309
0.57071,0.25777
0.56102,0.26257
0.55129,0.26751
0.54153,0.27259
0.53174,0.2778
0.52194,0.28316
0.51212,0.28867
0.50229,0.29434
0.49246,0.30017
0.48265,0.30616
0.47284,0.31232
0.46306,0.31865
0.45331,0.32516
0.44359,0.33186
0.43391,0.33875
0.42428,0.34582
0.41471,0.35309
0.4052,0.36057
0.39575,0.36825
0.38638,0.37615
0.37708,0.38425
0.36787,0.39257
0.35875,0.40111
0.34972,0.40987
0.34079,0.41885
0.33197,0.42806
0.32325,0.43749
0.31465,0.44716
0.30616,0.45704
0.2978,0.46716
0.28955,0.4775
0.28144,0.48807
0.27345,0.49885
0.26559,0.50986
0.25787,0.52108
0.25029,0.53251
0.24284,0.54415
0.23553,0.55599
0.22837,0.56803
0.22134,0.58025
0.21446,0.59266
0.20772,0.60523
0.20112,0.61797
0.19467,0.63085
0.18837,0.64388
0.1822,0.65704
0.17618,0.6703
0.1703,0.68367
0.16456,0.69713
0.15897,0.71066
0.15351,0.72424
0.14819,0.73785
0.14301,0.75148
0.13797,0.7651
0.13306,0.77869
0.12828,0.79223
0.12363,0.8057
0.11911,0.81906
0.11472,0.8323
0.11046,0.84538
0.10631,0.85826
0.10229,0.87092
0.098386,0.88332
0.094598,0.89542
0.090925,0.90719
0.087364,0.91857
0.083912,0.92952
0.080568,0.93999
0.07733,0.94993
0.074194,0.95928
0.071158,0.96797
0.068221,0.97595
0.06538,0.98314
0.062633,0.98948
0.059977,0.99487
0.05741,0.99925
0.05493,1.0025
0.052535,1.0046
0.050222,1.0053
0.04799,1.0047
0.045837,1.0025
0.043759,0.99868
0.041756,0.99307
0.039825,0.98556
0.037964,0.97598
0.036171,0.96419
0.034445,0.95003
0.032783,0.93333
0.031184,0.9139
0.029646,0.89155
0.028167,0.86609
0.026746,0.83731
0.02538,0.80499
0.024068,0.76891
0.022809,0.72883
0.021601,0.68451
0.020443,0.6357
0.019333,0.58216
0.018269,0.52362
0.01725,0.45983
0.016276,0.39052
0.015343,0.31543
0.014452,0.23431
0.013601,0.14692
0.012789,0.053063
0.012014,-0.047386
0.011275,-0.15502
0.010572,-0.26949
0.0099023,-0.39121
0.0092657,-0.52048
0.008661,-0.65685
0.008087,-0.80077
0.0075428,-0.95206
0.0070272,-1.1106
0.0065393,-1.2763
0.006078,-1.449
0.0056425,-1.6284
0.0052316,-1.8142
0.0048446,-2.006
0.0044803,-2.2032
0.004138,-2.4055
0.0038166,-2.6123
0.0035153,-2.8229
0.0032332,-3.0368
0.0029694,-3.2532
0.0027231,-3.4714
0.0024934,-3.6906
0.0022795,-3.9103
0.0020806,-4.1298
0.0018959,-4.3481
0.0017246,-4.5647
0.001566,-4.779
0.0014194,-4.9903
0.001284,-5.1983
0.0011592,-5.4023
0.0010443,-5.602
0.00093876,-5.7968
0.00084191,-5.9864
