x/c,cp
0.9483,0.1335
0.9,0.1026
0.8503,0.1037
0.7998,0.1057
0.7497,0.1031
0.7003,0.1056
0.6502,0.092
0.5997,0.1147
0.5506,0.1132
0.5,0.1261
0.4503,0.1424
0.4,0.1597
0.3507,0.1786
0.3002,0.2145
0.2501,0.2537
0.2004,0.3154
0.1504,0.4047
0.1,0.5591
0.0755,0.6593
0.051,0.8124
0.0251,1.0204
0.0122,1.0505
0.0,-2.3905
0.0135,-3.832
0.0271,-2.8263
0.0515,-2.3446
0.0763,-1.9334
0.1012,-1.6899
0.1503,-1.3465
0.1994,-1.1389
0.2501,-0.9749
0.2999,-0.8345
0.3499,-0.7279
0.3994,-0.6274
0.4496,-0.5438
0.4997,-0.4624
0.5492,-0.395
0.5994,-0.3236
0.6495,-0.2723
0.6996,-0.2003
0.7489,-0.1446
0.8003,-0.0766
0.85,-0.0176
0.8993,0.0468
0.9489,0.1108
