x/c,cp
0.9483,0.0957
0.9,0.0196
0.8503,-0.0124
0.7998,-0.045
0.7497,-0.079
0.7003,-0.1147
0.6502,-0.154
0.5997,-0.1781
0.5506,-0.1885
0.5,-0.2314
0.4503,-0.2544
0.4,-0.2863
0.3507,-0.3151
0.3002,-0.3401
0.2501,-0.3761
0.2004,-0.4026
0.1504,-0.4267
0.1,-0.425
0.0755,-0.4032
0.051,-0.3743
0.0251,-0.2033
0.0122,0.0147
0.0,1.0416
0.0135,0.0138
0.0271,-0.2018
0.0515,-0.3335
0.0763,-0.3923
0.1012,-0.4084
0.1503,-0.3926
0.1994,-0.3904
0.2501,-0.3702
0.2999,-0.3446
0.3499,-0.3085
0.3994,-0.2814
0.4496,-0.2527
0.4997,-0.2241
0.5492,-0.1783
0.5994,-0.1743
0.6495,-0.143
0.6996,-0.1117
0.7489,-0.0765
0.8003,-0.0462
0.85,-0.0092
0.8993,0.0364
0.9489,0.0901
